,company,idandtype,review_counts,reviewid,date,total_rating,interest_sat,online_sat,prof_sat,service_sat,review
13,ibk,680MORT,10,6368,2016. 04. 13.,3.75,1,4,5,5,보증제단제단의 보증으로 사업자금 대출을 받았는데 은행 중 하나은행의 금리가 시중 다른 은행보다 낮아 어려운시게에 참으로 유용하게 사용하여 만족 하였다. 지인들한테도 추천하고 있음.
14,ibk,680MORT,10,6369,2016. 04. 13.,2.5,2,2,3,3,"집단대출

오래기다려서불편했고

서류도많음"
15,ibk,680MORT,10,6370,2016. 04. 13.,5.0,5,5,5,5,준비서류가 부족했으나 친절히 설명해 주셨다
16,ibk,680MORT,10,6371,2016. 04. 13.,4.5,4,5,4,5,주택대출30년만기 10년거치로 장기로 해서 걱정이 되기도하지만 금액이 높은지라 부담을 줄이기위해서 젤 길게 할수밖에 없었다.변동금리라 그것도 걱정인데 주기별로 연락해줘서 미리 알려주면좋겠고 대출은 받았지만 연체없이 잘갚아준다면 신용도가 나쁘진않을꺼라 생각합니다
17,ibk,680MORT,10,6372,2016. 04. 13.,3.75,4,3,4,4,"이사를 가야하는데 돈이 부족해서 여러은행을

알아봤는데 주거래은행인 기업은행이 금리도

좋고 거래은행이라 혜택이 있어서 대출을  잘

받았습니다"
18,ibk,680MORT,10,6373,2016. 04. 13.,2.25,2,3,2,2,주택담보대출인데 금리인하조건이 너무 많았다. 월급자동이체시 보통 금리추가인하해주는데 기업은행은 해주지 않았다. 
19,ibk,680MORT,10,6374,2016. 04. 13.,3.75,4,4,3,4,저렴한금리로 전체가 되지않아서 아쉬웠음
20,jbb,666MORT,1,6294,2016. 04. 13.,3.25,4,3,3,3,"담보대출 조건이 타은행에 비해 유리하다 하지만, 지역은행이라 오프라인 접근성이 떨어진다"
21,jeju,652MORT,1,6280,2016. 04. 13.,4.0,4,4,4,4,창업을 위해 약 4천만원의 자금이 필요하여 대출을 생각하고 있었다. 이번이 처음으로 받게되는 대출이지만 담보잡을 아파트가 있어서 대출은 쉽게 받을수 있다고 했다. 주위의 은행들을 직접 찾아다니면서 금리 상담을 하고 그중에서 금리가 가장 싼 제주은행을 택하게 되었다. 대출 절차가 크게 어렵지 않았고 자세한 설명으로 첫대출이지만 많은 도움을 받을수 있었다. 매월 이자 납부일에는 미리 문자 안내로 연체를 예방할수 있었다. 
22,kb,50MORT,47,1719,2016. 05. 01.,3.25,3,2,4,4,"집을 구입하면서 대출이 필요했습니다. 인터넷을 찾아보니 70%까지 가능하다는 말도 있었고, 최대는 90%까지 가능하다는 말도 있었습니다.  지금 살고 있는 보증금과 새로 이사갈 집의 금액이 맞지 않아 대출이 최대한 필요했습니다. 주거래 은행이었던 국민은행을 방문했고, 상담과정은 무난했습니다. 아파트 구입금액/ 제 앞에 대출이 있는 지/ 마지막으로 연봉 등에 대해 물어봤습니다. 정확한 소득자료 검토 후에  대출을 무난히 받을 수 있었습니다. 하지만 금리가 다른 은행과 비교 했을 때, 제가 잘 받았는 지 판단이 명확하게 안되는 점은 조금 아쉬웠습니다. 그래도 대체적으로 만족하며 상환을 하고 있습니다. "
23,kb,50MORT,47,1720,2016. 04. 13.,3.75,5,4,2,4,"기존 회사급여 통장이여서 대출금리혜택에 도움이 됐습니다. 중도상환수수료도 1년에 대출금액의 20%까지 없는게 장점 하지만, 각자 개인에 맞는 대출상품을 비교할수가 없었다"
24,kb,50MORT,47,1721,2016. 04. 13.,4.0,4,4,4,4,"대출 상담시 친절했고 상품 설명을 꼼꼼하게 해주셨어요 하지만, 인터넷뱅킹 이용시 확인하기가 힘들어요"
25,kb,50MORT,47,1722,2016. 04. 13.,2.75,2,2,4,3,"금리가 너무 높지도 않고 적당하게 받은 거 같아 만족스럽다, 단점은 대출 외의 서비스에 대해서 전반적으로 불만족스럽다"
26,kb,50MORT,47,1723,2016. 04. 13.,3.0,3,3,3,3,"대출에 대한 기본 설명을 잘해줘서 쉽게 이해할 수 있었다, 단점은 상품가입을 은근 권유하는 분위기가 형성되어 있어 불편하다"
27,kb,50MORT,47,1724,2016. 04. 13.,2.75,4,1,4,2,"가장 적합한 상품을 추천해줌. 다만, 본사 사이트에 소개된 상품조차 취급하지 않는 게 있었음, 단점은 창구 문의시 본사 사이트에 소개된 상품이 없고, 내겐 큰 금액이지만 은행으로서는 작은 금액이어서인지 대충 끝내려는 느끼이 강했음. 금리 높을 때는 3년간 미변동금리더니, 지금 금리가 낮아져 다른 상품 갈아탔더니 1년마다 갱신이어서 황당"
28,kb,50MORT,47,1725,2016. 04. 13.,3.0,2,2,5,3,"지점이 많은곳에 있어 방문이 편리하다. 어플이 사용하기 편리하게 되어있다, 단점은 1금융권 중에서는 대출금리가 높은 편이다. 장기우수고객에 대한 서비스나 혜택이 부족하다"
29,kb,50MORT,47,1726,2016. 04. 13.,3.5,2,4,4,4,"대출상품을 잘 알려주었고 최대한 이자는 낮게 받을수 있도록 추천해주었음, 단점은 대출신청도 복잡하지만, 실제 대출 받기까지의 심시기간이 너무 길었음"
30,kb,50MORT,47,1727,2016. 04. 13.,4.25,4,4,5,4,"주거래은행이라 금리 가낮다. 모바일뱅킹이 매우편리하다. 지점이많아 ATM기찾기가 쉽다, 단점은 대출할 때 금리를 낮추기 위해서 다른 상품을 끼워팔기 한다"
31,kb,50MORT,47,1728,2016. 04. 13.,5.0,5,5,5,5,"은행이용 실적과 연동된 금리가 편리함, 단점은 모든 서비스를 만족하고 쓰고 있어서 단점이 없음"
32,kb,50MORT,47,1729,2016. 04. 13.,3.75,4,4,4,3,나름 변동금리로 주택자금대출을 저렴한 이자율로 빌렸음 그런데 직접 근저당권 말소하려고 했으나 귀찮아서 국민은행 법무사에게 맡겼음. 비용도 생각보다 비쌌고 (12만원) 서류가 생각보다 많았음
33,kb,50MORT,47,1730,2016. 04. 13.,4.0,4,4,4,4,대출 상담을 적극적으로 지원해줘서 편하게 거래를 마무리할 수 있었음. 3%대로 이자도 나름 저렴하게 받았음 그런데 지점에 방문할 때마다 창구가 1개라서 너무 많이 기다림. 창구가 많았으면 좋겠음
34,kb,50MORT,47,1731,2016. 04. 13.,2.5,2,2,3,3,주거래은행이라 주택담보대출 받았음 그런데 상담 및 가입 시 정보 제공이 미흡함. 이해를 많이 못함
35,kb,50MORT,47,1732,2016. 04. 13.,3.25,4,3,3,3,주거래은행으로 대출 문의가 쉽고 경기도 내 지점이 많아 접근성이좋음 그런데 많은 고객 확보로 인해 대출상담시 불친절하며 시간이 너무 걸림. 국민은행에서 대출 상품이 3건인데 한 상품으로 묶어 이자와 상환에 편리성을 고객에게 적용해서 제공했으면 하는 바램
36,kb,50MORT,47,1733,2016. 04. 13.,3.5,3,4,3,4,"주거래 은행으로 오랫동안 거래해 왔는데, 고객등급을 대출이 많은 고객을 위주로 하다보니 저축하고 싶은 동기부여가 저하됨. 영업시간 외의 혜택이 많았으면 좋겠다! 수수료 부담이 커서 발품, 손품, 시간낭비가 많은 편이다 "
37,kb,50MORT,47,1734,2016. 04. 13.,3.5,4,2,4,4,1년전 갑자기 집을 구매하게되었는데 자금이부족하여 대출을 하게됬습니다 신중히고르다 국민은행에서 소득7천이하면 기금대출이가능하다고하여  받았는데 금리도 타은행권보다 낮았고 추가로 청약및상환기간에따라 할인을 더받을수있었습니다   (2.7프로는 그당시 타행에비해 상당히 낮음)    5년 고정금리를 추천해서  받았는데  그전에 전액상환예정이라 크게 문제는 없었고 대출도 직접직원이 부동산으로 찾아와 손쉽게받을수있었고 다만서류가너무많은게 흠이라면 흠였습니다 자세한 상환방법과 향후상환방법에대해서도 잘설명들었습니다  지금도 대출받은거에  만족하고있으며 조건이되는사람이면 기금대출을받아 보는거를 적극추천합니다 
38,kb,50MORT,47,1735,2016. 04. 13.,4.0,4,4,4,4,법무사를통해 알게되긴했지만  주거래은행에서 주택대출을 받고자할때 알아서직원분아 다챙겨주시고 가능금액과 최저이율을알려주시고 대출받는 날 금리가 어떻게 설정되는지도 알려주셔서이해가빨랐어요  아울러3년까진 고정금리로되고 그이후엔 변동금리이니 카드이용등으로 이율을 낮추는법도알려주셨네요 꼼꼼한설명과 나중에도 궁금한게있어 전화했을때 친절한설명에 기분좋았답니다
39,kb,50MORT,47,1736,2016. 04. 13.,3.75,4,3,4,4,살던집을 전세주고 다른 곳으로 전세를 얻어나가려는데 금액과 이사시기가 갭이 있어서 급하게 주택담보대출을 받게되었습니다.  금방 상환할거라 신속히 받고 싶었는데 다행히 주거래은행인 국민은행에서 우대금리로 대출이 가능함을 담당직원에게 유선상으로 확인받은후 필요서류구비하여 두번정도 방문후 대출받을 수 있었습니다.
40,kb,50MORT,47,1737,2016. 04. 13.,3.5,4,1,4,5,우선 주택감보대출을 받을때 동생 명의의 아파트를 담보로 잡아서 그런지 발급해야할 서류도 많았으며 시간이 오래걸려 불편한 점도 있었지만 직원이 상당히 친절했으며 어려운 용어도 잘 설명해 줬습니다. 연장을 할때는 근처 가까운곳에서 연장이 가능했으며 대출로인해 주거래고객이 되었는데 그 혜택이 좋았습니다.
41,kb,50MORT,47,1738,2016. 04. 13.,3.5,3,3,4,4,"사람의 상황 환경이 다 다르기 때문에

섣불리 조언을 드리기가 어렵네요"
42,kb,50MORT,47,1739,2016. 04. 13.,3.0,3,3,3,3,주택담보대출중인데 주거래은행치고는 금리 혜택이 많지않아 아쉬움...
43,kb,50MORT,47,1740,2016. 04. 13.,3.75,3,3,4,5,일반 주택이 아닌 주거용 오피스텔을 구매하게 됐는데 주거래은행이다보니 다른 은행과 비교해봤을때 우대금리가 있어 선택하게 되었다. 대출이 처음이라 잘 모르는 단어들은 자세하게 설명도 들을 수 있었고 상환방법도 연말정산까지 고려해 15년로 잡아주셨다. 다만 오피스텔이라 그런지 현재 살고 있는 사람의 신분증 사본을 요구했고 은행 법무사가 구매한 집을 방문 확인하는 절차가 있어 좀 번거로웠다.
44,kb,50MORT,47,1741,2016. 04. 13.,3.5,3,2,4,5,"작년여름 이사를 해야해서 당시 살던 집을 팔고 나머지돈을 주택 담보 대출을 받아야했다. 여러 은행에 문의하였는데 대출 금리 우대를 위해서는 급여이체, 적금가입, 카드사용 등 다른 은행 업무가 부수적으로 꼭 이행되어야해서 주거래 은행인 국민은행으로 택했다. 창구 직원분께서 꼼꼼하게 비교해주셔서 형편에 적합한 주택담보대출, 고정금리 3.2, 5년거치 10년상한을 했다. 한가지 아쉬웠던 점은 다만 0.1프로라도 다른 곳 보다 금리가 조금 높았다는 점이다. 그래도 주거래 은행이라 다른 상품을 가입안해도 된다는 편한것도 있다. 대출을 받을때 발품을 팔아 여러 은행을 다녀보고 자신의 상황에 맞게 비교하여 택하는게 좋을 것 같다."
45,kb,50MORT,47,1742,2016. 04. 13.,2.75,3,2,3,3,"국민은행 

부산 해운대구에 투자용 오피스텔을 구매하기 위해서 대출이 필요해서 국민은행과 우리은행 방문후 금리면에서 국민은행이 나아서 대출실행

신한은행

회사와 연관있는 은행이고 주거래은행이기에 좋은조건에 신용대출실행"
46,kb,50MORT,47,1743,2016. 04. 13.,4.0,4,4,4,4,빌라에 살다가 아파트로 전환하여 이사를할려고했지만 금리도비싸고 융자대출도 많아서 고민했었는데 다행이 기존애 맞는 저이자대출이있어서멎게갈아탔어요
47,kb,50MORT,47,1744,2016. 04. 13.,2.75,2,3,3,3,결혼예정이라 집을 구하기 위해 전세대출을 조금더 받으려고 왔다갔다했는데 신혼부부 전세자금대출이 있다고하여 추천을 받아 연금리 5.7%로 급한대로 그나마 주거래 은행중에 싼거같아 대출을 받았다. 지금 3년째 갚고 있고 10년 납입으로 되어있어 처음에는 직원 설명을 듣고 이자도 별로 안높고 괜찮다고 생각했으나 한달별로 따지면 이자와 원금 포함해서 천원정도 계속 줄어가는것 같다. 지금현재는 4.5%대까지 이자가 줄긴했지만 따지고보니 10년동안 3000만원 원금 상환에 따른 이자만 천만원이 넘는걸 알았다면 처음부터 대출을 받지 않았을텐데 그런것을 잘모르고 급한대로 대출을 받게된것이 많이 아쉽다
48,kb,50MORT,47,1745,2016. 04. 13.,4.25,3,4,5,5,전세탈출을 위해 내집마련하고자 주거래 은행인 국민은행을 방문하였고 전문적인 지식과 친절함을 갖춘 직원의 도움으로 디딤돌대출을 잘 처리 받았습니다. 2.8%  고정금리로 더 우대받을수있는 조건이  많지않아 실망하긴 했습니다.
49,kb,50MORT,47,1746,2016. 04. 13.,3.0,2,3,3,4,"처음대출 받을때는  부동산에서 소개를 해주었는데   대출을 받을수 있게끔  엄청 연락도 자주하고 친절하고  어떻게하면  금리가 도움이 되는지 설명도 해주고 하더니  대출이 이루어지니까  그다음부터는 은행창구 미리 이자납입일 보다  먼저 선결제를  하려고 하니  이자 얼마나 된다고 번거롭게  선결제하냐는식으로 얘기함 . 알아서 통장에서 결제일되면 출금될텐데 하는식임

다양한 사람들이  일하는지는 알지만 자기네에 이익이 되면  친절한거 같은 느낌이 들었음"
50,kb,50MORT,47,1747,2016. 04. 13.,3.5,3,3,4,4,집을 구입하면서 아파트담보대출을 받았는데 금리가 점점내녀가고있는 시점이었는데  변동금리를 해야할지  고정금리를 해야할지  몰라 고민했지만  직원에게는  조언을 구할수 없었어요 . 전문가가 아니기때문에  선뜻 선택을 못했는데  고정금리로  대출신청을 하고  지금껏 후회중입니다 금리가 내려가서  대출을 갈아타려고도 했지만  중도상환수수료를  내고 다시  대출신청하기가까다.로워  그냥 두고있어요  그리고 다른 은행보다 금리가 높네요
51,kb,50MORT,47,1748,2016. 04. 13.,3.5,3,3,4,4,2011년에 처음으로 담보대출하다가 2013년다시 이자가 싸 집담보로 올김
52,kb,50MORT,47,1749,2016. 04. 13.,3.25,2,4,3,4,"신랑이 투잡으로 사업을 시작하여 집담보로 대출을 받았습니다

국민은행에서 받았는데 주거래은행은 아니였고 지인이 근무하고 있어 소개로 받았습니다 금리는 다른은행과 많이 차이는 안났고요  하루 상담받고  며칠후에 서류 준비해가 실행됐습니다 직원의 상품권유는 전혀 없었습니다"
53,kb,50MORT,47,1750,2016. 04. 13.,3.5,3,3,4,4,"지난 가을에 전세금을 3,000만원 인상해 달라는 집 주인 요구에 집을 사기로 결심하고 수원에 집을 사면서 국민은행에서 7,000만원 대출 받아 구입 

주거래 은행은 아니었지만 금리 비교후 결정 하면서 고정금리로 할건지 변동금리로 할건지 고민되었지만 결정은 고정으로..."
54,kb,50MORT,47,1751,2016. 04. 13.,3.5,4,2,4,4,잔금이 준비 되지 않은 상태에서 급하게 부동산 중개사를 통해 대출을 받게 되었습니다. 국민은행을 통해 약 4일만에 대출을 승인이 되었는데 서류에 서명하는 것이 너무 많은듯 하여 조금 불편하였지만 대체적으로 빠른 업무처리와 100% 이해는 못했지만 금리 및 상환에 대한 설명이 많이 도움 되었습니다.
55,kb,50MORT,47,1752,2016. 04. 13.,4.0,4,4,4,4,월세로 놓고있던 소유하고 있던 집은 팔고 서울에 전세로 살고있던 집을 사게 되면서 대출이 많이 필요했는데 부동산에서 알선해주어 편리하게 상담을 받았고 돌아다니는 수고없이 은행에서 알아서 타은행과 비교분석하여 주어서 편리했다1억이란 돈은 먼저 우대한대출을 받았고 차후 더 필요하여 3천은 신용대출로 받았다. 먼저받은것은 변동금리가 아니었고 차후 3천만 변동금리이지만 주거래은행과 상관없이 필요한금액은 받을수 있어서 좋았다. 대출받을때 번거롭고 자주 방문하여 서류도 제출해야하는 번거로움이 전엔 많았지만 이번은 쉽고 편리했다
56,kb,50MORT,47,1753,2016. 04. 13.,3.0,3,3,3,3,직접 가서 작성해야할 서류가 많아서 불편하기도했고 이율이 좀 더 낮아졌으면 좋겠다...문자알림 서비스도 없고 불편하기도 했다
57,kb,50MORT,47,1754,2016. 04. 13.,2.75,2,2,3,4,"작년 2월쯤 신랑 가게  물건값이 필요해서 비교적 대출 금리가 낮은 주택을 담보로 대출을 받기로했다ㅡ

이미 주택담보 대출을 받고 잔금이 3천 9백정도있었지만 비교적 금리가 높았다ㅡ  이래저래 은행들 몇 군데를 둘러봤지만 금액차이가 많이 나지도 않고 해서 그냥  원래 대출이 있던 kb로 선택~1억2천정도 원금이랑 이자 같이 20년상환 

3.5프로정도 되는듯 하다ㅡ우대금리 적용은 이것저것 있었지만 크게 차이나지 않았고 ㅡ신경쓰지 않았다ㅡㅡ변동금리라 저게 어떻게 변할지는~

전체적으로 서류 준비하고 하루정도 소요된거 같으며ㅡ직원도 크게 불친절 하지 않았고 

그렇다고 크게 친절 한 것 같지도 않지만

그렇다고 또 크게 안칠절 한것도 적절한 듯 했다ㅡ

대출 할 땐 그래도 몇군데 발품을 팔아도 좋을 듯 싶다?우리야 얼마 차이 안나서 음...약간 귀찮아서? 기존 받던데서 했지만~~신규로 하는 분들은 꼼꼼히 잘 선택하시길...

"
58,kb,50MORT,47,1755,2016. 04. 13.,3.0,3,3,3,3,"대출음 가급적 안하고 살았으면해요....ㅜㅜ
상황이 안돼서 대출는 받았는데 힘들어요.
저희는 거의 그때그때 이자와 상환해요 ㅠㅠ"
59,kb,50MORT,47,1756,2016. 04. 13.,2.75,3,2,3,3,"주택구입일 위해 고민하던 중에 금리가 낮은 상품이 나와 신한, 국민, 농협은행을 방문했고 주거래 은행에서 대출을 받았는데 생각보다 자격조건이 까다로왔고 특별한 해택은 없었다. 집 근처에 대출가능한 은행이 없어 대출받기까지 서류제출을 하러 지정된 지점까지 여러번 방문해야 해서 불편했다. 단 고정금리와 일정기간 예치 가능, 할부기간이 다양한점은 좋았다. 또 이후 더욱 저렴한 금리로 갈아탈 수 있는 기회가 있었는데 안내가 없어 놓친점이 아쉽다."
60,kb,50MORT,47,1757,2016. 04. 13.,3.0,3,3,3,3,잘 모르겠다
61,kb,50MORT,47,1758,2016. 04. 13.,3.5,3,3,4,4,"내집구매를 위해 5000만원대출 서류준비할게 많은데 직장인이라 반차내기가힘들었음
금리도 변동이고 별다른 우대도없어 주거래은행을 할필요는 없을듯 합니다"
62,kb,50MORT,47,1759,2016. 04. 13.,3.0,3,3,3,3,대출과정에서 창구쪽에서 시간이 너무 많이걸려서 눈치가 보였습니다 온라인상으로 문서등은 작성하게해서 창구방문시에는 중요한 얘기만했으면 좋겠습니다
63,kb,50MORT,47,1760,2016. 04. 13.,3.0,3,3,3,3,집 구매할때 대출을 받았는데 고정금리로 묶어놔서 금리가 너무 높아요...요새 2-3프로대에 하던데 넘 높아 아쉽네요...
64,kb,50MORT,47,1761,2016. 04. 13.,3.25,3,2,4,4,"첫 대출이라 어떤것이 장점이고 어떤것이 단점인지

정확히 알수가 없었습니다.

그리하여 설명 및 조언이 어렵습니다."
65,kb,50MORT,47,1762,2016. 04. 13.,3.0,3,3,3,3,친정부모님이 캐피탈에서 높은 금리로 신용대출을 받으셔서 이자부담이 컸다. 기존에 다른 자잘한 대출도 있어서 주택담보대출을 받은후 기존 대출금액을 정리했다. 대출을 하나로 통합하니 이자도 저렴해지고 이자 빠져나가는 날도 통합되서 편리하다.
66,kb,50MORT,47,1763,2016. 04. 13.,3.0,3,2,3,4,"얼마전 집을 매입하면서 부동산통해 제일 금리가 싼 은행을
추천받아 대출을 받음. 은행 직원이 직접 방문하여 필요한 서류와 상품에 대해 설명받고 약속한 시간까지 서류 준비 후 대출심사를 기다림. 
대체적으로 불편함 없이 처리되어 편했음"
67,kb,50MORT,47,1764,2016. 04. 13.,4.25,4,3,5,5,급여 통장으로 쓰면서 공과금 수납을 이용하고 금리우대 카드를 추가 신청하게 되면 금리를3% 밑으로 낮출수 있습니다
68,kb,50MORT,47,1765,2016. 04. 13.,3.75,3,4,4,4,"청약통장이 국민은행으로 되있어 주택구입시망설임없이 국민은행을 정하게됐었어요
창구직원분도 친절하시고 금리면도 적당한것같아서 잘받았습니다"
69,kebhana,229MORT,24,6168,2016. 04. 13.,3.75,3,4,4,4,"친절함 하지만, 다소 높은 금리"
70,kebhana,229MORT,24,6169,2016. 04. 13.,3.0,3,3,2,4,"지점이 많고 대형금융사여서 친절했고 상담이 수월했음 하지만, 기본금리가 높은편은 아닌데 추가금리를 얻기위해서 요구하는 조건들이 편리하지가 않음"
71,kebhana,229MORT,24,6170,2016. 04. 13.,3.0,3,3,3,3,"주택대출을 받았는데 간단하게 시행하였다 금리도 저렴, 단점은 하나은행이라는 곳이 부산에는 잘 보이지 않아서 불편하다"
72,kebhana,229MORT,24,6171,2016. 04. 13.,3.5,4,2,4,4,"대출 상담해줄 때 직원이 굉장히 전문성이 있다는 느낌을 받았다, 단점은 중도상환수수료가 크다"
73,kebhana,229MORT,24,6172,2016. 04. 13.,4.0,4,4,4,4,"대출상담을 친절히 해주고 금리가 낮다 디딤돌대출중 금리가 가장 낮다, 단점은 디딤돌대출중 인터넷 대출은 한곳에서 밖에 하지 않아 비교가 어렵다"
74,kebhana,229MORT,24,6173,2016. 04. 13.,4.0,4,4,4,4,"아낌 e 보금자리론을 통해 더 낮은 금리로 받을 수 있어서 좋았음, 단점은 신청절차가 상당히 복잡하고 인터넷에서 모두 작성후 직접 이동하면서 서류를 제출해야해서 번거로움이 있음"
75,kebhana,229MORT,24,6174,2016. 04. 13.,3.0,3,3,3,3,"상담이 친절함, 단점은 인터넷 거래가 번거로움"
76,kebhana,229MORT,24,6175,2016. 04. 13.,3.25,4,2,3,4,직원이 친절하며 진행에 어려움이 있지 않았음
77,kebhana,229MORT,24,6176,2016. 04. 13.,4.0,4,4,4,4,아파트분양에의한 집단대출이기때문에 특별히 신경안씀
78,kebhana,229MORT,24,6177,2016. 04. 13.,3.75,3,3,4,5,주택 담보 대출 이율이 높아서 갈아탄 상품입니다  무엇보다 직원이 너무 친절해서 좋았습니다  정말 만족합니다 대출 신청 후 승인까지 열흘 정도 걸렸는데 좀 길다는 생각이 듭니다
79,kebhana,229MORT,24,6178,2016. 04. 13.,3.0,3,3,3,3,"부동산 1채를 더 매입하기 위해서 추가대출이 필요하여 기존 대출이 있던 곳이라 특별한 절차없이 추가로 대출이 가능하여 하게 되었다

그당시 대출금리가 낮아졌는데도 추가대출이라는 이유로 금리는 같은점이 좀 불합리하게 느껴졌다 이런점들은 개선이 되었음한다"
80,kebhana,229MORT,24,6179,2016. 04. 13.,3.0,3,3,3,3,작년 1억1천5백 대출받음.  부동산에서 추천해주는 은행들을 몇군데 선정하여 제일 저렴한 금리의 하나은행을 선정.  담당자와 연락하여 상담을 받고 서류 준비하여 대출을 받음. 15년 원금을 같이 내는것으로 선택. 중간에도 몇%는 상환이자없이 갚아도 된다고했음. 다달이 이자포함80만원정도씩 납입하고있음.
81,kebhana,229MORT,24,6180,2016. 04. 13.,3.0,3,3,3,3,"작년말에 여유자금으로 주택한채를 4,000만원 정도끼고 구매했는데 다행히 큰 어려움 없이 잘받았습니다. 하나은행이 주거래 은행이라 일단 방문했는데 주거래은행이라 크게복잡하거나 한건없었네요. 상품 권유를 하긴 했는데 현재 사용중인 상품으로 대체가 가능해 우대금리를 받았네요.다른상품은 신규로하나 안하나 금리변동은 없다고 해서 그냥 거절했고요. 금리도 3%대니 나쁘지는 않은 것 같아요. 은행대출 필요하신 분들은 먼저 은행부터 방문해보시고 상담먼저 받아보시면 좋을 것 같아요."
82,kebhana,229MORT,24,6181,2016. 04. 13.,3.25,2,4,3,4,아파트 대출로  이자 및  우대금리에  대하여  비교할  수  없어  손해를  보는  듯한  느낌이  들었다. 대출준비서류를  자세히  알려주어 한번  방문으로  대출을 받을 수  있었고 대출심사기간도 짧아  빠르게  대출을  받을  수 있어 좋았다
83,kebhana,229MORT,24,6182,2016. 04. 13.,4.5,3,5,5,5,전세로 살고있던집이 사실 깡통주택으로 경매직전이어 부득이 구매하자고 판단하여 2011년 5월 댱시 주거래은행인 하나은행에서 주택대출을 신청하여 구매를 하게 되었습니다. 좋았던점은 번거롭지 않게 한번에 필요서류를 준비할수 있게  해주어 인상에 남습니다. 따로  나빴던점은 주차문제 외엔  없습니다.
