,idandtype,productname,interest_type,company,lowest_rate,highest_rate,last_month_interest,maximum_period,preference,redemption_fee,related_fee,review_counts,average_rate
17,626MORT,DGB 장기모기지론(생활),변동,dgb,2.85,5.25,2.9,30,"- 신용카드 이용실적 연계
- 급여이체
- 신용카드가맹점
- 우수고객
- 공과금 자동이체
- 신혼부부
- 다자녀(2명 이상)
- 거래실적 등
",중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",2,4.0
20,50MORT,FORYOU장기대출,고정,kb,3.38,4.72,3.05,30,"우대금리: 최고 연 1.1%p 우대
☞실적 연동 우대 : 최고 연 0.7%p
 급여이체: 최고 연 0.3%p
KB신용카드 사용실적: 최고 연 0.3%p
수신평균잔액: 연 0.1%p
☞영업점 우대 : 최고 연 0.4%p
KB스타클럽 우대: 연 0.1%p (골드스타 이상)
KB스타뱅킹 가입/이용고객 : 연 0.1%p
KB체크카드 이용고객 : 연 0.1%p (최근3개월 이용실적 50만원이상 이용) 등",중도상환금액 × 1.4% × (대출잔여일수 ÷ 3년),"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",47,3.4
22,798MORT,HEART아파트론(3년고정),변동,hi,2.86,5.71,3.78,30,영업점 문의 필요,중도상환금액 × 1.5% × 대출잔여일수 ÷ 3년,"인지세 50%
국민주택채권매입비용",1,4.0
23,796MORT,HEART아파트론(6개월연동),변동,hi,2.81,5.56,3.74,30,영업점 문의 필요,중도상환금액 × 1.5% × 대출잔여일수 ÷ 3년,"인지세 50%
국민주택채권매입비용",1,4.0
24,800MORT,HEART주택론(3년고정),변동,hi,3.17,5.92,3.86,30,영업점 문의 필요,중도상환금액 × 1.5% × 대출잔여일수 ÷ 3년,"인지세 50%
국민주택채권매입비용",1,4.0
25,799MORT,HEART주택론(6개월연동),변동,hi,3.12,5.77,3.85,30,영업점 문의 필요,중도상환금액 × 1.5% × 대출잔여일수 ÷ 3년,"인지세 50%
국민주택채권매입비용",1,4.0
30,680MORT,IBK주택담보대출,고정,ibk,3.04,3.85,3.23,30,영업점 문의 필요,"- 중도상환금액 x 수수료율* x (대출잔여일수 ÷ 대출기간)
  * 고정금리 1.2%, 변동금리 0.9%","- 인지세 : 해당세액의 50%
- 국민주택채권 매입비용 : 대출금액 x 120% x 1% x 채권할인률
- 화재보험료(아파트외 물건지에 한함)",10,3.3
31,76MORT,iTouch 아파트론,혼합,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 1.5% × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 단, 3년 초과 시 만기를 3년으로 보며 3년 초과시 면제 
* 단, 최초 대출 신규일 기준으로 1년마다 최초 대출금액의 20% 범위내에서 상환하는 경우에는 면제",,39,3.4
32,64MORT,iTouch 아파트론-copy,고정,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 1.5% × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 단, 3년 초과 시 만기를 3년으로 보며 3년 초과시 면제 
* 단, 최초 대출 신규일 기준으로 1년마다 최초 대출금액의 20% 범위내에서 상환하는 경우에는 면제",,39,3.4
34,81MORT,iTouch연립다세대론,혼합,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환금액 x 1.5% x (만기까지 남아 있는 기간 ÷ 대출기간)
* 단, 3년 초과 시 만기를 3년으로 보며 3년 초과시 면제 
* 단, 최초 대출 신규일 기준으로 1년마다 최초 대출금액의 10% 범위내에서 상환하는 경우에는 면제",,39,3.4
35,662MORT,JB해피홈론,변동,jbb,3.88,5.5,3.88,30,거래실적에 따라 금리감면,"상환금액×
수수료율(잔여일 1년미만 1%, 1년초과 2%)×
대출잔여일수÷대출기간(최장 3년)","인지세:50%
주택채권매입:대출금액×120%×1%×할인율
화재보험료(아파트외)
주택신보출연료(주택구입)",1,4.0
37,49MORT,KB 주택구입자금대출,변동,kb,0.0,0.0,0.0,30,"신용카드실적, 급여(연금)이체, 가족사랑/거래실적 우대금리 등","중도상환대출금액 × 중도상환수수료율 × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 단, 주택투기지역 소재 (주상복합)아파트 담보대출의 경우 별도 정한 기준에 의함
* 수수료율 : 최초대출일로부터 3년이내에 원금의 일부상환 또는 전부상환시 상환원금에 대하여 최대 1.4%이내",,47,3.4
40,226MORT,KB고정금리모기지론 Ⅱ,고정,kb,0.0,0.0,0.0,30,"소형주택, 급여/연금이체, KB스타클럽등급 등","조기상환원금 × 수수료율 × (잔존일수 ÷ 대출기간)
수수료율 : 최초대출일로부터 3년이내에 원금의 일부상환 또는 전부상환시 상환원금에 대하여 최대 1.4%이내","대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.
수입인지대금은 각 50%씩 고객과 은행이 부담하며, 근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세, 지방세, 등기신청수수료 및 법무사수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.",47,3.4
41,10MORT,KB금리조정형적격대출,고정,kb,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환원금 × 수수료율(1.5%) × 잔존일수 ÷ 대출기간
* 당초 대출일로부터 최장 3년까지 부과
",,47,3.4
42,868MORT,KB부동산담보대출,고정,kb,2.73,4.36,3.17,30,,중도상환금액 × 1.4% × (대출잔여일수 ÷ 3년),"ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",47,3.4
46,229MORT,KEB하나변동금리모기지론,변동,kebhana,2.83,4.43,2.88,30,"비거치 0.2%
부수거래 0.4%
(급여이체, APT 관리비이체, 기타자동이체, 적립식수신이체, 제휴카드결제, 스마트폰뱅킹 이체 등 항목 각 0.1%~0.2%씩; 핸드폰요금이체, 청약종합저축이체, 연금이체 등 부수거래 항목 각 0.1%씩 적용 기준)","중도상환금액 × [ 1.3(비거치), 1.4%(거치) ] × 
( 대출잔여일수 ÷ 대출기간 )
※ 대출기간 : 대출약정일로 최장 3년","1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등",24,3.5
47,227MORT,KEB하나혼합금리모기지론,고정,kebhana,3.4,4.98,2.94,30,"비거치 0.2%
부수거래 0.4%
(급여이체, APT 관리비이체, 기타자동이체, 적립식수신이체, 제휴카드결제, 스마트폰뱅킹 이체 등 항목 각 0.1%~0.2%씩; 핸드폰요금이체, 청약종합저축이체, 연금이체 등 부수거래 항목 각 0.1%씩 적용 기준)","중도상환금액 × [ 1.3(비거치), 1.4%(거치) ] × 
( 대출잔여일수 ÷ 대출기간 )
※ 대출기간 : 대출약정일로 최장 3년","1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등",24,3.5
48,26MORT,My Style 마이너스론,고정,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","영업점 문의 필요
","인지대, 채권할인비용 등",39,3.4
49,31MORT,My Style 모기지론,고정,woori,0.0,0.0,0.0,30,"영업점 문의 필요
","중도상환대출금액 × 중도상환수수료율 × (중도상환약정잔여일수 ÷ 중도상환약정기간)
* 대출취급 후 3년 이내 상환 시 : 1.5%
* 대출취급 후 3년 초과 상환 시 : 면제
* 매년 최초 대출금액의 20%(일반주택:10%) 범위 내에서 중도상환하는 경우 면제","인지세, 채권할인료 등",39,3.4
54,194MORT,U-보금자리론,고정,citi,0.0,0.0,0.0,30,"- 가족사랑 우대금리 0.1% [u-보금자리론의 경우만 해당. 자격조건: u-보금자리론 신청인의 직계존비속(배우자의 직계존비속 포함)이 공사의 전세자금보증,주택연금 중 하나를 이용하고 있는 경우]
- ""안심주머니"" 앱(App.)에서 ""금리할인"" 쿠폰 발급받은 경우 0.02%p",조기상환원금 ×조기상환수수료율(1.2%) × [(3년-대출경과일수) ÷ 3년],"대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.(고객과 은행이 각 50%부담)
근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세,지방세, 등기신청수수료 및 법무사 수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.
감정평가수수료는 은행부담이 원칙이나 기존 가격정보, 분양가액보다 유리한 감정가액 적용 목적으로 감정평가시 고객부담 입니다.",4,3.0
55,190MORT,U-보금자리론,고정,kb,0.0,0.0,0.0,30,"- 가족사랑 우대금리 0.1% [u-보금자리론의 경우만 해당. 자격조건: u-보금자리론 신청인의 직계존비속(배우자의 직계존비속 포함)이 공사의 전세자금보증,주택연금 중 하나를 이용하고 있는 경우]
- ""안심주머니"" 앱(App.)에서 ""금리할인"" 쿠폰 발급받은 경우 0.02%p",조기상환원금 ×조기상환수수료율(1.2%) × [(3년-대출경과일수) ÷ 3년],"대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.(고객과 은행이 각 50%부담)
근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세,지방세, 등기신청수수료 및 법무사 수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.
감정평가수수료는 은행부담이 원칙이나 기존 가격정보, 분양가액보다 유리한 감정가액 적용 목적으로 감정평가시 고객부담 입니다.",47,3.4
56,192MORT,U-보금자리론,고정,kebhana,0.0,0.0,0.0,30,"- 가족사랑 우대금리 0.1% [u-보금자리론의 경우만 해당. 자격조건: u-보금자리론 신청인의 직계존비속(배우자의 직계존비속 포함)이 공사의 전세자금보증,주택연금 중 하나를 이용하고 있는 경우]
- ""안심주머니"" 앱(App.)에서 ""금리할인"" 쿠폰 발급받은 경우 0.02%p",조기상환원금 ×조기상환수수료율(1.2%) ×[(3년-대출경과일수) ÷ 3년],"대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.(고객과 은행이 각 50%부담)
근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세,지방세, 등기신청수수료 및 법무사 수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.
감정평가수수료는 은행부담이 원칙이나 기존 가격정보, 분양가액보다 유리한 감정가액 적용 목적으로 감정평가시 고객부담 입니다.",24,3.5
57,193MORT,U-보금자리론,고정,sc,0.0,0.0,0.0,30,"- 가족사랑 우대금리 0.1% [u-보금자리론의 경우만 해당. 자격조건: u-보금자리론 신청인의 직계존비속(배우자의 직계존비속 포함)이 공사의 전세자금보증,주택연금 중 하나를 이용하고 있는 경우]
- ""안심주머니"" 앱(App.)에서 ""금리할인"" 쿠폰 발급받은 경우 0.02%p",조기상환원금 ×조기상환수수료율(1.2%) × [(3년-대출경과일수) ÷ 3년],"대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.(고객과 은행이 각 50%부담)
근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세,지방세, 등기신청수수료 및 법무사 수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.
감정평가수수료는 은행부담이 원칙이나 기존 가격정보, 분양가액보다 유리한 감정가액 적용 목적으로 감정평가시 고객부담 입니다.",13,3.8
58,191MORT,U-보금자리론,고정,shinhan,0.0,0.0,0.0,30,"- 가족사랑 우대금리 0.1% [u-보금자리론의 경우만 해당. 자격조건: u-보금자리론 신청인의 직계존비속(배우자의 직계존비속 포함)이 공사의 전세자금보증,주택연금 중 하나를 이용하고 있는 경우]
- ""안심주머니"" 앱(App.)에서 ""금리할인"" 쿠폰 발급받은 경우 0.02%p",조기상환원금 ×조기상환수수료율(1.2%) ×[(3년-대출경과일수) ÷ 3년],"대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.(고객과 은행이 각 50%부담)
근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세,지방세, 등기신청수수료 및 법무사 수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.
감정평가수수료는 은행부담이 원칙이나 기존 가격정보, 분양가액보다 유리한 감정가액 적용 목적으로 감정평가시 고객부담 입니다.",27,3.2
59,44MORT,U-보금자리론,고정,woori,0.0,0.0,0.0,30,"- 가족사랑 우대금리 0.1% [u-보금자리론의 경우만 해당. 자격조건: u-보금자리론 신청인의 직계존비속(배우자의 직계존비속 포함)이 공사의 전세자금보증,주택연금 중 하나를 이용하고 있는 경우]
- ""안심주머니"" 앱(App.)에서 ""금리할인"" 쿠폰 발급받은 경우 0.02%p",조기상환원금 ×조기상환수수료율(1.2%) × [(3년-대출경과일수) ÷ 3년],"대출금 4천만원까지 수입인지 비용이 없으며, 4천만원 초과시 대출금액별 수입인지 비용이 차등 부과됩니다.(고객과 은행이 각 50%부담)
근저당권설정비용 중 설정등기와 관련하여 발생하는 비용(등록면허세,지방세, 등기신청수수료 및 법무사 수수료)은 은행이 부담하고, 국민주택채권매입비 및 감액/말소등기와 관련하여 발생하는 비용은 고객이 부담합니다.
감정평가수수료는 은행부담이 원칙이나 기존 가격정보, 분양가액보다 유리한 감정가액 적용 목적으로 감정평가시 고객부담 입니다.",39,3.4
60,53MORT,가가호호 담보대출,변동,kebhana,0.0,0.0,0.0,30,"- 급여이체, APT 관리비이체, 기타자동이체, 적립식수신이체, 제휴카드결제, 하나N뱅크이체 등 부수거래 항목 각 0.2%씩
- 핸드폰요금이체, 청약종합저축이체, 연금이체 등 부수거래 항목 각 0.1% 씩 최대 1.5%씩 
- 비거치 0.1% 적용 기준","중도상환대출금액 × 중도상환수수료율(1.5%) × (중도상환약정잔여일수 ÷ 중도상환약정기간) 
* 최초대출일로부터 3년(기한연장 포함)까지 적용
* 단, 잔여기간 3개월 이내 상환 시 면제","인지세법에 의해 대출약정 체결시 납부하는 세금으로 대출금액에 따라 세액이 차등 적용되며, 은행과 고객이 각 50% 씩 부담합니다. (4천만원 이하: 없음, 4천만원 초과 ~ 5천만원 이하: 4만원, 5천만원 초과 ~ 1억원 이하: 7만원, 1억원 초과 ~ 10억원 이하: 15만원,10억원 초과: 35만원) ",24,3.5
61,848MORT,가계주택자금대출,변동,suhyup,3.08,0.0,0.0,30,,"중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)

* 1.5%
** 대출기간이 3년을 초과하는 경우 3년","1. 인지세 : 해당세액의 50%

2. 국민주택채권 매입비용 : 대출금액 X  120% X 1% X 채권할인율

3. 화재보험료 (아파트외 물건지에 한함)",3,2.0
64,996MORT,교보NEW프라임모기지론2(12개월변동),변동,kyobo_life,2.58,3.98,0.0,30,,중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),"인지세 
- 4천만원 이하: 없음
- 4천초과 ~ 5천이하: 4만 × 50% = 2만
- 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
- 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
- 10억초과: 35만 × 50% = 17.5만",0,
65,892MORT,교보NEW프라임모기지론2(6개월변동),변동,kyobo_life,2.78,4.14,3.31,30,,중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),"인지세 
- 4천만원 이하: 없음
- 4천초과 ~ 5천이하: 4만 × 50% = 2만
- 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
- 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
- 10억초과: 35만 × 50% = 17.5만",0,
66,889MORT,교보더블찬스모기지보험대출,변동,kyobo_life,3.08,4.4,3.35,30,,중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),"인지세 
- 4천만원 이하: 없음
- 4천초과 ~ 5천이하: 4만 × 50% = 2만
- 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
- 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
- 10억초과: 35만 × 50% = 17.5만",0,
67,890MORT,교보프라임Hybrid모기지론2(3년고정후 6개월변동),변동,kyobo_life,2.8,4.2,3.08,30,,중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),"인지세 
- 4천만원 이하: 없음
- 4천초과 ~ 5천이하: 4만 × 50% = 2만
- 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
- 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
- 10억초과: 35만 × 50% = 17.5만",0,
68,891MORT,교보프라임Hybrid모기지론2(5년고정후 6개월변동),변동,kyobo_life,2.87,4.27,0.0,30,,중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),"인지세 
- 4천만원 이하: 없음
- 4천초과 ~ 5천이하: 4만 × 50% = 2만
- 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
- 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
- 10억초과: 35만 × 50% = 17.5만",0,
69,894MORT,교보프라임장기고정금리모기지론,고정,kyobo_life,2.9,4.3,3.12,30,,중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),"인지세 
- 4천만원 이하: 없음
- 4천초과 ~ 5천이하: 4만 × 50% = 2만
- 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
- 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
- 10억초과: 35만 × 50% = 17.5만",0,
71,896MORT,교보프라임주택담보대출(연립다세대),변동,kyobo_life,2.73,4.4,0.0,30,,중도상환금액 × 중도상환수수료율 × (잔존일수 ÷ 중도상환수수료부과일수),"인지세 
- 4천만원 이하: 없음
- 4천초과 ~ 5천이하: 4만 × 50% = 2만
- 5천초과 ~ 1억이하: 7만 × 50% = 3.5만
- 1억초과 ~ 10억이하: 15만 × 50% = 7.5만
- 10억초과: 35만 × 50% = 17.5만",0,
72,652MORT,금리safe모기지론,고정,jeju,3.14,7.2,0.0,30,영업점 문의 필요,"중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","인지세 50%
주택채권매입비용",1,4.0
73,822MORT,금리안전모기지론,고정,shinhan,2.71,4.86,2.69,30,"- 아파트관리비 또는 공과금 이제 0.1%
- 예금/신탁 신규 0.1%
- S뱅킹 0.1%
- 신한 신용카드 결제계좌 보유 0.2%
- 급여이체 기거래 또는 신규 0.2%",-중도상환해약금:중도상환대출금*1.4%*(대출잔여일수/대출기간),"- 인지세: 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권매입: 대출금액*120%*1%*채권할인율",27,3.2
74,149MORT,내집마련 디딤돌 대출,고정,citi,0.0,0.0,0.0,30,"- 다자녀가구 0.5%p
- 다문화가구·장애인가구·생애최초 주택구입자 각각 0.2%p 금리우대 가능
- 단, 부부합산 연소득 2천만원 이하로서 생애최초 주택구입자의 경우 0.4%p (우대금리 중 택 1, 중복적용 불가)
- 본인 또는 배우자 명의의 청약저축 가입중인 경우 0.1~0.2%p 금리우대 [가입기간이 1년 이상(3년 이상) 이고 12회차(36회차) 이상 납입한 경우 0.1%p(0.2%p), 민영주택 청약지역별 최소 예치금액 납입 후 1년(3년) 이상 0.1%p(0.2%p)]","조기(중도)상환수수료 최대 3년, 최대요율 1.2% 잔여일수에 따라 슬라이딩 방식(조기상환 수수료가
날짜에 따라 감소하는 방식, 일할계산, n/365)","인지세 : 고객/은행 각 50% 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)
감정비용 : 고객이 직접 감정원에 의뢰한 경우는 고객 부담
(가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 국토교통부 부담)",4,3.0
75,993MORT,내집마련 디딤돌 대출,고정,ibk,2.2,2.9,0.0,30,"- 다자녀가구, 생애최초주택구입자 연 0.5%p
- 다문화, 장애인, 신혼가구는 연 0.2%p 금리감면(각 항목 간 중복적용 불가)
- 청약(종합)저축 가입자 조건충족 시 연 0.1%p~연 0.2%p 금리감면(상기조건과 중복적용 가능)","대출 취급 후 3년 이내 연 1.2% (상환금액x1.2%x[(3년-대출경과일수)/3년])
3년 이후 상환 시 면제","인지세(고객부담 50%, 대출금액에 따라 차등적용, 5천만원 이하 면세)
MCG 이용 시 협약모기지신용보증료
국민주택채권매입비용",10,3.3
76,146MORT,내집마련 디딤돌 대출,고정,kb,2.4,3.1,0.0,30,"- 다자녀가구 0.5%p
- 다문화가구·장애인가구·생애최초 주택구입자 각각 0.2%p 금리우대 가능 (단, 생애최초주택구입자 우대금리는 2016.5.30부터 2016.11.30까지 신규접수분에 대하여 연 0.5%p 적용)
- 본인 또는 배우자 명의의 청약저축 가입중인 경우 0.1~0.2%p 금리우대 [가입기간이 1년 이상(3년 이상) 이고 12회차(36회차) 이상 납입한 경우 0.1%p(0.2%p), 민영주택 청약지역별 최소 예치금액 납입 후 1년(3년) 이상 0.1%p(0.2%p)]
※ 우대금리 적용 후 최종금리가 연 2.0% 미만일 경우 연 2.0%로 적용. 단, 2016.5.30부터 2016.11.30까지 신규접수분으로 생애최초주택구입자 우대금리 적용 시 연 1.6%까지 가능
","대출취급 후 3년 이내 1.2%, 3년 이후 상환 시 면제
중도상환수수료 = 중도상환원금 x 수수료율(1.2%) x [(3년 - 대출경과일수)/3년]","인지세 : 고객/은행 각 50% 부담
근저당권설정비 : 은행부담(단, 국민주택채권매입 비용은 고객부담)
감정비용 : 고객이 직접 감정원에 의뢰한 경우는 고객 부담
(가격정보나 국토교통부 공시가격이 없어서 감정하는 경우는 국토교통부 부담)",47,3.4
