,idandtype,productname,company,interest_type,deposit_type,highest_rate,deposit_limit,period,monthly_interest,preference,review_counts,average_rate
10,126DEPOSIT,굿초이스 자유적금,bnkbs,단리,자유적립,2.6,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.3%우대 시 2.6%
","-스마트 우대: 0.10%
-팔로워 우대: 0.10%
-목돈마련 우대: 0.10%
-신용카드, 교차판매 우대: 0.70%",0,
11,127DEPOSIT,BNK에코적금,bnkbs,단리,자유적립,1.55,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.2%우대 시 1.55%24개월기본 1.3%우대 시 1.65%36개월기본 1.4%우대 시 1.75%
","""1. 에코버드 우대이율 연0.05%p
 : 이 적금 신규가입년도의 낙동강 하구 둔치 지역 6개 생태공원의 연간 철새 개체수가 전년대비 증가한 경우 우대이율을 지급합니다. ☞ 매년초 낙동강하구에코센터로부터 받은 철새개체수 증감 현황 내역을 홈페이지에 등재
2. 그린카드 우대이율 연0.1%p
 : 이 적금 신규가입후 당행 그린카드 또는 마이존그린체크카드(그린기업체크카드 포함) 이용 실적이 있는 경우 우대이율을 지급합니다.
3. 자동이체 우대이율 연0.1%p
 : 이 적금 약정기간 중 불입한 횟수의 2/3이상을 자동이체로 불입한 경우 우대이율을 지급합니다.
4. 비대면채널 우대이율 연0.1%p : 이 적금을 인터넷으로 신규가입하는 경우 우대이율을 지급합니다.""
",0,
12,128DEPOSIT,갈맷길적금,bnkbs,단리,정기적립,1.9,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.4%우대 시 1.9%24개월기본 1.5%우대 시 2.1%36개월기본 1.6%우대 시 2.3%
","-걷기실천우대 : 0.05~0.20%
-인터넷가입우대: 0.10%
-장애인(걷기 동반자 1인): 0.10%",0,
13,129DEPOSIT,BNK 문화사랑적금,bnkbs,단리,자유적립,2.1,1만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.4%우대 시 2.1%24개월기본 1.5%우대 시 2.2%36개월기본 1.6%우대 시 2.3%
","-문화서포터스 실천서약: 0.10%
-문화서포터스 참여우대: 0.20%
-문화사랑카드 우대이율: 0.30%",0,
14,12DEPOSIT,우리 꿈 적금 (정액적립식),woori,단리,자유적립,1.9,제한없음 ~ 300만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.9%12개월기본 1.55%우대 시 2.35%24개월기본 1.6%우대 시 2.4%36개월기본 1.65%우대 시 2.45%
","- 최고 연 0.5%p
1. 우리신용카드 최초가입 & 만기해지시까지 신용카드 보유 연 0.1%p
2. 우리카드 결제계좌 등록 & 만기해지시까지 유지 연0.2%p",0,
15,130DEPOSIT,BNK캠핑스토리적금,bnkbs,단리,자유적립,2.2,제한없음 ~ 100만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.3%우대 시 2.2%24개월기본 1.4%우대 시 2.3%36개월기본 1.5%우대 시 2.4%
","""1. 소개 우대이율 (최고 0.3%P)
- 이 적금을 신규한 고객 중 소개이율을 받고 있지 않은 고객이 이 적금을 신규 할 다른 고객 1인을 소개하여 그 고객이 신규 가입한 경우 0.1%P 소개이율을 지급합니다.
- 소개이율을 받고 있는 고객이 이 적금을 신규 할 다른 고객 1인을 소개하여 그 고객이 신규 가입한 경우 0.1%P의 소개이율을 지급합니다.
- 소개를 받아 신규 가입한 고객에게도 0.1%P의 소개이율을 지급합니다.
- 소개는 최대 3회까지 할 수 있으며, 소개이율은 최고 0.3%P까지만 지급합니다.
2. 캠핑사랑 우대이율(0.2%P)
 : 이 적금 만기전까지 캠핑장을 이용하고 캠핑사진과 후기를 본인의 앱에 등록한 경우 0.2%P 우대이율을 지급합니다.""
",0,
16,131DEPOSIT,BNK참 잘했어요! 적금,bnkbs,단리,자유적립,2.2,제한없음 ~ 100만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.3%우대 시 2.2%24개월기본 1.4%우대 시 2.3%36개월기본 1.5%우대 시 2.4%
","-소개이율: 0.3%
-목표달성우대이율: 0.2%",1,4.0
17,132DEPOSIT,BNK장학적금,bnkbs,단리,자유적립,1.45,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.45%12개월기본 1.3%우대 시 1.55%24개월기본 1.4%우대 시 1.65%36개월기본 1.5%우대 시 1.75%
","""단체가입 우대이율 : 학교단체 가입시 연 0.1%p
적립달성 우대이율 : 신규 가입시 설정한 적립 목표금액을 만기시 달성한 고객 연 0.05%p
※ 단, 적립 목표금액은 최소 20만원 이상으로 설정할 수 있음
딩딩카드 우대이율 : 이 적금 가입기간 중 당행『Ding Ding』체크카드 사용실적이 있는 경우 연 0.1%p""
",0,
18,133DEPOSIT,BNK1박2일적금,bnkbs,단리,자유적립,1.5,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.2%우대 시 1.5%
","""1. 어깨동무 우대이율(연0.1%p ~ 연0.15%p)
- 예금주 및 예금주 이외의 자가 자동이체 방식으로 이 적금으로 이체하는 경우 이체인원수에 따라 지급
- 이체인원수는 가입기간동안 평균값을 적용
- 평균값 : 월별이체수의 총 합 ÷ 12 (1년) ※소수점이하 절사
- 이체인원수가  2명이상일 경우 연 0.1%p
, 5명이상일 경우 연 0.15%p
※ 중복지급하지 않고 적용가능한 높은 우대이율을 지급
2. 일상탈출 우대이율(연0.1%p)
- 여행관련 숙박영수증(캠핑장, 펜션, 리조트 등 숙박시설 이용영수증) 제출시
- 숙박영수증 제출시 연 0.1%p
※ 계약기간 중 1회에 한하여 지급
- 숙박영수증은 문면상 숙박업소 명칭이 기재되고, 이 적금의 계약기간 내 발행 및 제출되는 경우 인정함
3. 적립달성 우대이율 (연 0.05%p )
- 신규가입시 설정한 연간 적립 목표금액을 만기시 달성한 고객
- 연간 적립 목표금액은 최소 50만원 이상으로 설정할 수 있음""
",0,
19,137DEPOSIT,BNK희망가꾸기적금,bnkbs,단리,자유적립,4.5,제한없음 ~ 25만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2%우대 시 4.5%24개월기본 2.2%우대 시 4.7%36개월기본 2.4%우대 시 4.9%
","""만기해지 우대이율
이 적금을 만기해지 하는 경우 가입기간 및 금액에 관계없이 우대이율 연2.50%p를 추가로 적용한다.""
",0,
20,138DEPOSIT,BNK MySmart 적금,bnkbs,단리,자유적립,2.0,제한없음 ~ 제한없음,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.4%우대 시 2%12개월기본 1.5%우대 시 2.2%
","-소개이율: 0.1~0.3%
-청춘불패우대(자동이체 2/3이상
 불입): 0.2%",1,4.0
21,139DEPOSIT,꽃보다 당신 적금,bnkbs,복리,정기적립,1.65,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.65%12개월기본 1.4%우대 시 1.85%24개월기본 1.5%우대 시 2.05%36개월기본 1.6%우대 시 2.25%
","""1. 웰빙이율(연 0.05%P) : 다음 각호 중 어느 하나에 해당 시
- 이 적금 가입기간 중 1개월 이상 외국어학원, 문화센터, 스포츠센터, 비만 및 다이어트 관련 학원 등록 시(등록증으로 확인)
- 이 적금 가입기간 중 10시간 이상 자원봉사를 한 경우(자원봉사 확인서 등으로 확인)
- 60세 이상 직계존속(배우자포함)을 부양하고 있는 경우 (주민등록등본상 주소가 동일해야 함)
2. 소개이율 (최대 0.1%P)
- 이 적금을 신규 한 고객 중 소개이율을 받고 있지 아니한 고객이 다음과 같이 이 예금을 신규 할 다른 고객1인을 소개하는 경우 0.1%P의 소개이율을 지급합니다.
- 소개를 받은 고객에게도 0.1%P의 소개이율을 지급합니다.
- 소개는 ①호를  1회까지 소개할 수 있으며 소개이율은 최고 연 0.1%P까지만 지급합니다.
3. 출산이율 ( 0.1%P) : 이 적금을 신규 가입한 고객이 이 적금 가입기간 중 자녀를 출산하고 그 사실을 은행에만기 해지하기 전까지 제출하는 경우 0.1%P의 출산이율을 지급합니다.
4. 신용카드 우대이율 (0.2%P) : 이 적금 가입기간중 당행 여성전용카드인 퍼퓸캐시백카드의 사용실적이 있는 경우 우대이율 0.2%P를 지급합니다.""
",0,
22,13DEPOSIT,우리 꿈 적금 (자유적립식),woori,단리,자유적립,1.9,제한없음 ~ 300만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.3%우대 시 1.9%12개월기본 1.55%우대 시 2.15%24개월기본 1.6%우대 시 2.2%36개월기본 1.65%우대 시 2.25%
","""- 이 적금을 스마트뱅킹으로 가입한 경우 연 0.2%p
- 이 적금을 가입하면서 우리은행 또는 제휴업체에서 발급한 금리우대쿠폰을 등록하는 경우 연 0.1%p
- 다른 사람의 친구번호를 등록하거나(가입 시 1명, 0.1%p) 다른 사람이 내 친구번호를 등록한 경우(각 0.1%p씩) 최고 연 0.3%p 추가이율 적용""
",5,3.2
23,140DEPOSIT,BNK연리지적금 (정기적립식),bnkgn,단리,정기적립,2.35,10만원 ~ 500만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.4%우대 시 2.35%24개월기본 1.6%우대 시 2.55%36개월기본 1.7%우대 시 2.65%
","▷BNK투자증권,BNK캐피탈,BNK저축은행거래 여부에 따른 우대금리0.20%~0.30%
▷첫거래자 0.10%
▷계좌이동서비스로자동이체변경0.10%
▷평생통장자동이체0.10%
▷연결고리0.10%
▷종이통장미발행0.05%",0,
24,141DEPOSIT,BNK연리지적금 (자유적립식),bnkgn,단리,자유적립,2.1,제한없음 ~ 300만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.15%우대 시 2.1%24개월기본 1.2%우대 시 2.15%36개월기본 1.3%우대 시 2.25%
","▷BNK투자증권,BNK캐피탈,BNK저축은행거래 여부에 따른 우대금리0.20%~0.30%
▷첫거래자 0.10%
▷계좌이동서비스로자동이체변경0.10%
▷평생통장자동이체0.10%
▷연결고리0.10%
▷종이통장미발행0.05%",1,4.0
25,142DEPOSIT,카드플러스적금,bnkgn,단리,정기적립,4.2,10만원 ~ 30만원,12개월 고정,"
개월별 기본금리
12개월기본 1.4%우대 시 4.2%
","▷신용카드결제증가액 우대이율: 최대 2.50%
▷거래실적 우대이율: 최대 0.10%",1,4.0
26,143DEPOSIT,캠퍼스드림적금,bnkgn,단리,정기적립,3.15,1만원 ~ 10만원,36개월 고정,"
개월별 기본금리
36개월기본 1.65%우대 시 3.15%
","전회차 납입하고 만기해지하는 경우
",0,
27,144DEPOSIT,e-Money 자유적금,bnkgn,단리,자유적립,1.7,1만원 ~ 제한없음,6개월 ~ 24개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.7%12개월기본 1.3%우대 시 1.8%24개월기본 1.4%우대 시 1.9%
","▷특정입출금상품에서 인출하여 신규시 우대금리
  - 직장인우대통장: 0.15%
  - 공직자우대통장: 0.15%
▷월부금 30만원 이상 자동이체 입금시 우대금리: 0.10%",0,
28,147DEPOSIT,둘레길적금,bnkgn,단리,정기적립,0.0,5만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.6%우대 시 0%24개월기본 1.8%우대 시 2.05%36개월기본 1.9%우대 시 2.15%
","""1. 둘레길
 탐방거리 기준
- 3년 미만 10km 이상 : 0.05%p
- 3년 미만 20km 이상 : 0.10%p
- 3년 30km 이상 : 0.10%p
- 3년 50km 이상 : 0.20%p
2. 인터넷뱅킹, 스마트뱅킹으로 신규시 : 0.05%p""
",0,
29,148DEPOSIT,상조적금,bnkgn,단리,자유적립,2.6,5만원 ~ 100만원,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 1.5%우대 시 2.6%24개월기본 1.6%우대 시 2.7%
","""1. 계약기간 중 본인, 배우자, 본인 및 배우자의 직계존비속 상사(喪事)시
 (0.1%p 우대)
2. 차상위계층 이하 65세 이상 고령자가 가입할 경 (1.0%p우대) ""
",0,
30,149DEPOSIT,스마트자유적금,bnkgn,단리,자유적립,1.7,1만원 ~ 300만원,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.7%12개월기본 1.6%우대 시 2.1%
","▷추천번호 입력 우대금리: 추천시 0.10%, 최대 3회 0.30% 제공",1,3.0
31,14DEPOSIT,iTouch그린적금 (정액적립식),woori,단리,정기적립,2.15,"제한없음 ~ 1,000만원",12개월 고정,"
개월별 기본금리
12개월기본 1.75%우대 시 2.15%
","""1. 우리그린카드 또는 우리V체크그린카드 또는 우리나만의체크카드 가입고객 연 0.1%p
2. iTouch우리통장으로 연결가입 시 연 0.1%p
3. 인터넷뱅킹으로 가입 시 연 0.1%p / 스마트뱅킹으로 가입 시 연 0.2%p""
",0,
32,150DEPOSIT,마니마니 자유적금,bnkgn,단리,자유적립,1.7,"1만원 ~ 10,000만원",12개월 ~ 60개월,"
개월별 기본금리
12개월기본 1.35%우대 시 1.7%24개월기본 1.4%우대 시 1.75%36개월기본 1.5%우대 시 1.85%48개월기본 1.6%우대 시 1.95%60개월기본 1.7%우대 시 2.05%
","""1. 이체거래 우대금리
조건 : 창구거래(연동거래포함)를 제외한 이체거래로 입금시 해당 건별 입금분에 한하여 만기해지하는 계좌에 우대금리 지급(0.05%)
2. 병역명문가 등 병역이행자 우대이율(최대 0.20%p, 중복 불가)
- 병역명문가 본인 및 가족 0.20%p
- 현역병(공익근무) 입영(소집)통지서를 받은자 0.10%p
- 현역 군복무(공익복무) 중인자 0.10%p
3. 국가유공자 우대이율
- 국가유공자 및 독립유공자 0.10%p""
",0,
33,151DEPOSIT,월복리 솔솔적금,bnkgn,단리,자유적립,1.95,5만원 ~ 500만원,24개월 ~ 36개월,"
개월별 기본금리
24개월기본 1.75%우대 시 1.95%36개월기본 1.95%우대 시 2.15%
","""거래 가족수: 예금 신규 이전에 당행과 거래중인 가족수에 따라 제공( 가족수 1명일 경우 우대이율 0.03%, 가족수 2명일 경우 우대이율 0.05%, 가족수 3명일 경우 우대이율 0.07%, 가족수 4명 이상일 경우 우대이율 0.10%)
* 가족수 인정내용 :당행 은행수신(외화,신탁,수익증권 제외) 
활동계좌를 보유한 고객으로 가족관계증명서 또는
주민등록등본상 본인을 제외한 가족급여이체: 예금신규 이전에 “직장인우대통장”을 가입한경우
카드이용고객: 예금 신규 이후 3개월이내 당행 계좌를 결제계좌로 등록된 신용(체크포함)카드로 10만원이상 이용한 고객공과금이체: 예금 신규 이전 당행계좌 또는 당행 신용카드로 공과금 자동이체 등록 고객* 공과금 :전기료, 전화료(휴대폰,인터넷 포함), 도시가스비, 아파트관리비
자녀거래: 예금 신규 이전 예금주 자녀명의로 ‘아이Dream자유적금’을 가입한
경우최고 0.2%까지 우대이율 적용함""
",0,
34,152DEPOSIT,행복 Dream 여행적금(정기적립식),bnkgn,단리,정기적립,1.35,5만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.35%12개월기본 1.4%우대 시 1.65%24개월기본 1.6%우대 시 1.85%36개월기본 1.7%우대 시 1.95%
","▷자동이체 우대금리
-정기적립식: 전체 적립회수의 2/3이상을 월10만원 이상 자동이체 입금시 0.05%
-자유적립식: 창구외 채널(인터넷뱅킹, 텔레뱅킹 등)로 10만원 이상 입금시 0.05%",0,
35,153DEPOSIT,행복 Dream 여행적금(자유적립식),bnkgn,단리,자유적립,1.35,"1만원 ~ 1,000만원",6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.35%12개월기본 1.15%우대 시 1.4%24개월기본 1.2%우대 시 1.45%36개월기본 1.3%우대 시 1.55%
","▷자동이체 우대금리
-정기적립식: 전체 적립회수의 2/3이상을 월10만원 이상 자동이체 입금시 0.05%
-자유적립식: 창구외 채널(인터넷뱅킹, 텔레뱅킹 등)로 10만원 이상 입금시 0.05%",0,
36,154DEPOSIT,행복 Dream 적금,bnkgn,단리,정기적립,2.05,5만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.4%우대 시 2.05%24개월기본 1.6%우대 시 2.25%36개월기본 1.7%우대 시 2.35%
","▷적립식예금신규가입우대: 0.05%
▷신용카드신규가입 우대: 0.10%
▷고액적립액우대이율:30만원 이상: 0.05%, 60만원 이상: 0.10%
▷자동이체 우대이율: 0.05%
▷행복 우대이율:최대 0.15%",0,
37,155DEPOSIT,아이 Dream 자유적금,bnkgn,단리,자유적립,1.6,1만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.3%우대 시 1.6%24개월기본 1.4%우대 시 1.7%36개월기본 1.5%우대 시 1.8%
",""" 예금주의 출생년도 입금분 0.05
 예금주의 입학년도 입금분(유치원, 초.중.고등학교 입학년도 입금분) 0.05
 설날, 추석, 생일 이후 5영업일까지 입금분 0.05
 계약기간 3년제로 자동재예치 원리금이 5백만원 이상인 경우 0.05
 창구거래를 제외한 이체거래 입금분(입금건별 적용) 0.05
 예금주 또는 부모가 경남(울산)사랑통장 주거래 고객인 경우 0.05""
",0,
38,156DEPOSIT,탄!탄!성공적금,bnkgn,단리,정기적립,1.8,10만원 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.5%우대 시 1.8%24개월기본 1.7%우대 시 2%36개월기본 1.9%우대 시 2.2%
","""1.  입출금식 예금 평잔>= 적금 납입액 0.10
 입출금식 예금 평잔>= 적금 납입액의 2배 0.15
 대상 : 상기 요건 충족 시 신규가입후 1년(12회)간 납입한 적립액에 한하여 만기해지 시 우대금리를 제공 (1인 1계좌)
2.  퇴직연금 가입기업 0.05
3.  적립횟수의 2/3이상(소수점이하 절사)을 자동이체로 입금 시 0.05
4.  중소기업 기술혁신 촉진법 제15조 및 동법 시행령 제13조에 의거 중소기업청에서 기술혁신형 중소기업(Inno-Biz)으로 선정된 사업자 0.05""
",0,
39,157DEPOSIT,희망모아적금(정기적립식),bnkgn,단리,정기적립,6.0,1만원 ~ 30만원,12개월 고정,"
개월별 기본금리
12개월기본 3%우대 시 6%
","전회차를 납입하고 만기해지하는 경우
",0,
40,158DEPOSIT,희망모아적금(자유적립식),bnkgn,단리,자유적립,5.0,1만원 ~ 30만원,12개월 고정,"
개월별 기본금리
12개월기본 3%우대 시 5%
","만기해지하는 경우
",0,
41,159DEPOSIT,훼밀리적금,bnkgn,단리,정기적립,1.7,"제한없음 ~ 10,000만원",12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.6%우대 시 1.7%24개월기본 1.8%우대 시 1.9%36개월기본 1.8%우대 시 1.9%
","""훼밀리예금 신규와 동시 연결 적립하여 만기해지 하는
경우 연0.1%p 가산""
",0,
42,15DEPOSIT,iTouch그린적금 (자유적립식),woori,단리,자유적립,1.5,"제한없음 ~ 1,000만원",12개월 고정,"
개월별 기본금리
12개월기본 1.1%우대 시 1.5%
","""1. 우리그린카드 또는 우리V체크그린카드 또는 우리나만의체크카드 가입고객 연 0.1%p
2. iTouch우리통장으로 연결가입 시 연 0.1%p
3. 인터넷뱅킹으로 가입 시 연 0.1%p / 스마트뱅킹으로 가입 시 연 0.2%p""
",2,3.5
43,160DEPOSIT,탐나는 J 주니어 적금,jeju,단리,자유적립,2.9,1만원 ~ 50만원,36개월 고정,"
개월별 기본금리
36개월기본 1.9%우대 시 2.9%
","""아래 요건 충족여부에 따라 최대 연 1.0%p 우대
은행거래 우대이자율(연 0.8%p)
제주은행 최초 거래 시 연 0.2%p
본인 또는 부모[(외)조부모 포함]명의 당행 입출식 계좌에서 이 적금으로 자동이체에 의해 저축하는 경우 연 0.2%p
만기 자동재예치 시 연 0.2%p
아이사랑적금 만기 지급 고객(가입시점 기준 최근 1년 이내) 또는 당행 체크카드 보유고객 가입 시 연 0.2%p
나눔 우대이자율(연 0.5%p)
장애우, 소년소녀가장, 기초생활수급자(기초생활수급자의 직계비속 포함), 다문화·한부모가족 자녀 가입 시 연 0.5%p(중복적용 불가)
신규시점에 우대자격 증빙서류를 제출하여야 우대 가능합니다.
단체신규 우대이자율(연 0.2%p)
학교에서 단체로 신규 취급하는 경우 연 0.2%p""
",0,
44,161DEPOSIT,아이사랑적금,jeju,단리,자유적립,2.4,제한없음 ~ 30만원,12개월 고정,"
개월별 기본금리
12개월기본 1.6%우대 시 2.4%
","""바우처카드(제주 아이행복카드, 제주 국민행복카드) 결제계좌를 제주은행으로 지정한 고객의 자녀가 가입시 연 0.5%p
(다자녀 우대) 가입고객 가족기준 자녀수 3인 이상 시 연 0.1%p
부모명의[(외)조부모 포함] 당행 입출식 계좌에서 이 적금으로 자동이체에 의해 저축하는 경우 연 0.2%p
자동재예치 신청 시 연 0.1%p
장애아동수당 수급자 가입 시 연 0.5%p""
",0,
45,162DEPOSIT,새희망키움적금,jeju,단리,정기적립,6.0,1만원 ~ 20만원,12개월 고정,"
개월별 기본금리
12개월기본 3%우대 시 6%
","""1. 2.5% (만기해지시에 계약기간 동안 적용)
2. 0.5% (제주은행 유동성계좌에서 이 적금으로 자동이체 등록하는 경우. 만기해지시에
 계약기간 동안 적용)""
",0,
46,163DEPOSIT,사이버우대 매일부금,jeju,단리,자유적립,1.65,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.55%우대 시 1.65%12개월기본 1.65%우대 시 1.75%24개월기본 1.75%우대 시 1.85%36개월기본 1.85%우대 시 1.95%
","- 교차우대 최고 연 0.1%p
①탐나는 J 직장인통장 가입 고객이 기본우대 요건 충족후 이 상품 가입시 : 0.1%p
②탐나는 J 주거래통장 가입고객이 기본우대 요건 충족후 이 상품 가입시 : 0.1%p",0,
